iter	Passed	Remaining
412	3760	28108
413	3769	28098
414	3778	28090
415	3787	28081
416	3797	28072
417	3806	28063
418	3815	28053
419	3824	28045
420	3833	28038
421	3842	28028
422	3852	28020
423	3861	28011
424	3870	28003
425	3879	27994
426	3888	27985
427	3897	27978
428	3907	27968
429	3916	27959
430	3925	27951
431	3934	27943
432	3943	27934
433	3952	27925
434	3962	27916
435	3971	27906
436	3980	27897
437	3989	27888
438	3998	27879
439	4007	27871
440	4016	27862
441	4025	27852
442	4034	27842
443	4043	27832
444	4052	27822
445	4061	27812
446	4070	27801
447	4079	27790
448	4088	27779
449	4097	27770
450	4106	27759
451	4115	27749
452	4123	27738
453	4132	27728
454	4141	27718
455	4150	27709
456	4160	27701
457	4169	27690
458	4178	27680
459	4186	27669
460	4195	27660
461	4205	27651
462	4214	27642
463	4223	27633
464	4232	27624
465	4241	27614
466	4250	27603
467	4259	27593
468	4268	27583
469	4277	27574
470	4286	27563
471	4294	27553
472	4303	27541
473	4312	27532
474	4321	27522
475	4330	27514
476	4340	27505
477	4348	27494
478	4358	27485
479	4367	27476
480	4376	27468
481	4385	27457
482	4394	27448
483	4403	27439
484	4412	27428
485	4421	27419
486	4430	27409
487	4439	27400
488	4448	27390
489	4457	27382
490	4466	27372
491	4475	27364
492	4485	27356
493	4494	27347
494	4503	27338
495	4512	27327
496	4521	27319
497	4530	27310
498	4539	27300
499	4548	27291
500	4557	27282
501	4566	27273
502	4575	27264
503	4584	27254
504	4593	27245
505	4603	27237
506	4612	27229
507	4621	27221
508	4631	27213
509	4640	27206
510	4649	27197
511	4658	27189
512	4669	27189
513	4679	27182
514	4688	27174
515	4697	27166
516	4706	27158
517	4716	27149
518	4725	27141
519	4734	27133
520	4743	27124
521	4753	27116
522	4762	27108
523	4777	27132
524	4788	27136
525	4799	27133
526	4809	27130
527	4818	27122
528	4827	27113
529	4836	27105
530	4846	27100
531	4856	27093
532	4865	27085
533	4875	27079
534	4884	27071
535	4894	27065
536	4903	27056
537	4912	27048
538	4922	27040
539	4931	27033
540	4940	27023
541	4950	27015
542	4959	27006
543	4968	26995
544	4977	26986
545	4986	26977
546	4995	26968
547	5004	26957
548	5013	26947
549	5022	26938
550	5031	26928
551	5040	26918
552	5049	26908
553	5058	26898
554	5067	26889
555	5076	26878
556	5085	26870
557	5094	26860
558	5103	26850
559	5112	26840
560	5121	26829
561	5130	26819
562	5139	26810
563	5148	26801
564	5157	26792
565	5166	26782
566	5175	26772
567	5184	26763
568	5193	26753
569	5206	26762
570	5215	26752
571	5224	26744
572	5233	26735
573	5242	26724
574	5251	26714
575	5260	26705
576	5269	26695
577	5278	26685
578	5287	26676
579	5296	26667
580	5305	26657
581	5315	26648
582	5324	26639
583	5333	26630
584	5342	26621
585	5354	26626
586	5363	26616
587	5372	26607
588	5381	26597
589	5390	26588
590	5399	26579
591	5408	26569
592	5417	26559
593	5426	26549
594	5435	26540
595	5444	26530
596	5453	26519
597	5462	26509
598	5471	26500
599	5480	26490
600	5489	26480
601	5501	26484
602	5510	26474
603	5519	26464
604	5528	26454
605	5537	26445
606	5546	26436
607	5555	26426
608	5564	26417
609	5573	26407
610	5583	26398
611	5592	26388
612	5601	26379
613	5610	26369
614	5619	26359
615	5627	26349
616	5637	26339
617	5649	26343
618	5658	26334
619	5667	26324
620	5676	26314
621	5685	26305
622	5694	26296
