iter	Logloss
0	0.6919064994
1	0.6907085749
2	0.6895520009
3	0.6884156456
4	0.6873362939
5	0.6862824438
6	0.6852777708
7	0.6843045346
8	0.6833860845
9	0.6824676345
10	0.68154201
11	0.6806446265
12	0.6798395967
13	0.679029284
14	0.6782470817
15	0.6774323992
16	0.6766981348
17	0.6759606093
18	0.6752257579
19	0.674592587
20	0.6739919616
21	0.6733040045
22	0.672654789
23	0.6720128784
24	0.6713781421
25	0.670789387
26	0.6701774783
27	0.6696061374
28	0.6690822778
29	0.6685131544
30	0.667988773
31	0.6674567607
32	0.6669281399
33	0.6664400217
34	0.6659699699
35	0.6655243762
36	0.6650554331
37	0.6645739023
38	0.6641279825
39	0.6637226956
40	0.6633450628
41	0.6629172093
42	0.6625540556
43	0.6621774663
44	0.6618375315
45	0.6614297663
46	0.6610607427
47	0.6606845447
48	0.6603179995
49	0.6599793691
50	0.6596309555
51	0.6593480244
52	0.659010568
53	0.6587153752
54	0.6583790928
55	0.6580360273
56	0.6577448783
57	0.6574533379
58	0.6571487532
59	0.6568822579
60	0.6565864781
61	0.6563090255
62	0.6561026645
63	0.6558332342
64	0.655573261
65	0.6553158967
66	0.6550646633
67	0.6548422577
68	0.6546287223
69	0.6544485151
70	0.6542071301
71	0.6540095088
72	0.6537752981
73	0.6535596756
74	0.6533640109
75	0.6531527583
76	0.6529565718
77	0.6528136062
78	0.6526300727
79	0.6524329731
80	0.6522467003
81	0.6520377304
82	0.6518414787
83	0.6516685764
84	0.6515014787
85	0.6513343811
86	0.6511590655
87	0.6510004466
88	0.6508273486
89	0.650657316
90	0.6504940664
91	0.6503184899
92	0.6501550447
93	0.6500285149
94	0.6498475902
95	0.6496919716
96	0.6495478319
97	0.6494124972
98	0.6492881849
99	0.6491533719
100	0.6490437997
101	0.6489150523
102	0.648808415
103	0.6486904292
104	0.6485568555
105	0.6484481311
106	0.648335363
107	0.6482094854
108	0.6480943041
109	0.64797534
110	0.6478746379
111	0.6477950676
112	0.6476807342
113	0.6475784668
114	0.6474655682
115	0.6473603006
116	0.6472213787
117	0.6471204157
118	0.6469949294
119	0.6468852267
120	0.6467713499
121	0.6466849965
122	0.6466105787
123	0.6464916146
124	0.6463728461
125	0.6462564256
126	0.6461615935
127	0.6460854799
128	0.6459997788
129	0.645886815
130	0.6458007226
131	0.6457044555
132	0.6456247548
133	0.6455327924
134	0.645437308
135	0.6453432585
136	0.6452729496
137	0.6451963795
138	0.6451318102
139	0.6450406956
140	0.6449560381
141	0.6448539663
142	0.6447521554
143	0.6446546492
144	0.6445556429
145	0.6444683764
146	0.644384371
147	0.6442788425
148	0.6441941197
149	0.6441324853
150	0.6440627635
151	0.644003738
152	0.6439399513
153	0.6439014706
154	0.6438215089
155	0.6437174153
156	0.6436267573
157	0.6435497959
158	0.643491553
159	0.6434224834
160	0.6433507397
161	0.6432977145
162	0.6432464504
163	0.6431582056
164	0.6430993758
165	0.6430237187
166	0.6429299301
167	0.6428641216
168	0.6427693546
169	0.6426975457
170	0.6426306284
171	0.642563124
172	0.6424677701
173	0.6423433274
174	0.6422820191
175	0.6422410599
176	0.6421878392
177	0.6421095733
178	0.6420455909
179	0.6419729993
180	0.6419338664
181	0.6418588616
182	0.6417919442
183	0.6417598552
184	0.6416840026
185	0.641647935
186	0.6415725389
187	0.6415026214
188	0.6414292471
189	0.6413644821
190	0.6412927384
191	0.6412339085
192	0.6411614474
193	0.6411248581
194	0.6410798552
195	0.6410258517
196	0.6409272367
197	0.6408873211
198	0.6408136208
199	0.6407491819
200	0.6406834385
201	0.6406369355
202	0.6405859323
203	0.6405413207
204	0.6404541195
205	0.6404074209
206	0.640337699
207	0.6402575417
208	0.6402067993
209	0.6401843631
210	0.6401495348
211	0.6401070755
212	0.6400536591
213	0.6400085258
214	0.6399652839
215	0.6399236073
216	0.6398198398
217	0.6397332255
218	0.6396810483
219	0.6396306972
220	0.6395772808
221	0.6395325388
222	0.6394801659
223	0.6394191185
224	0.6393722894
225	0.639316525
226	0.6392245625
227	0.6391779291
228	0.6391376222
229	0.6390693352
230	0.6389987003
231	0.6389442403
232	0.6388952589
233	0.6388395596
234	0.6387791645
235	0.6387230087
236	0.638681006
237	0.6386093927
238	0.6385504324
239	0.6384972769
240	0.638448165
241	0.638392531
242	0.6383340925
243	0.6383173958
244	0.6382626749
245	0.6382181938
246	0.6381594944
247	0.6381094042
248	0.6380495308
249	0.6379972883
250	0.6379551552
251	0.6379155657
252	0.6378569968
253	0.637815842
254	0.6377680345
255	0.6377303365
256	0.6376725502
257	0.6376356348
258	0.6375924581
259	0.6375431506
260	0.6374936474
261	0.6374354046
262	0.637402272
263	0.6373584431
264	0.6373190493
265	0.6372746986
266	0.6372172384
267	0.6371685179
268	0.6371094272
269	0.6370855561
270	0.6370259436
271	0.6369797667
272	0.6369283721
273	0.6368808908
274	0.6368398012
275	0.6368133213
276	0.6367842325
277	0.636736425
278	0.63669814
279	0.636649876
280	0.6366095691
281	0.6365838718
282	0.6365326729
283	0.6365070408
284	0.6364634728
285	0.6364277314
286	0.6364002079
287	0.6363537049
288	0.6363065497
289	0.6362738737
290	0.6362267185
291	0.6361942382
292	0.6361382781
293	0.6361142765
294	0.6360734478
295	0.6359883989
296	0.6359512226
297	0.6359255253
298	0.6358738046
299	0.6358411286
300	0.6357851033
301	0.6357494271
302	0.6356939888
303	0.635668161
304	0.6356285063
305	0.6355748942
306	0.6355416312
307	0.6355153469
308	0.635487106
309	0.6354361027
310	0.6353986655
311	0.6353707507
312	0.6353391834
313	0.6353143993
314	0.6352782665
315	0.6352298069
316	0.6351900217
317	0.6351677812
318	0.6351171692
319	0.6350929068
320	0.6350239024
321	0.6349954658
322	0.6349456365
323	0.6349093733
324	0.6348747407
325	0.6348454562
326	0.6347867568
327	0.6347465803
328	0.6347181437
329	0.634669945
330	0.6346473783
331	0.6346027015
332	0.6345655905
333	0.6345344146
334	0.6344735628
335	0.6344350821
336	0.6343913837
337	0.6343569467
338	0.6343116177
339	0.6342653104
340	0.6342224598
341	0.6341961755
342	0.6341685216
343	0.634140672
344	0.6341051262
